department_id,product_id,count
1,9076,58269
1,20995,34248
1,24489,32658
1,17948,30970
1,46802,26027
1,14678,20981
1,37158,19172
1,1158,18445
1,42450,18132
1,28934,16145
1,40545,14894
1,24561,14851
1,49075,14848
1,7963,14207
1,16965,13908
1,32691,12560
1,18918,12366
1,32433,11750
1,43504,11561
1,9825,11125
1,2228,10938
1,2452,10915
1,20345,10859
1,34584,10300
1,35887,10275
1,30696,9350
1,28553,9187
1,25753,8977
1,23236,8923
1,17652,8878
1,31766,8851
1,34217,8785
1,11440,8773
1,34466,8672
1,12276,8555
1,2326,8511
1,9515,8497
1,311,8493
1,47792,8291
1,31869,7924
1,26128,7799
1,20754,7656
1,9124,7543
1,38944,7423
1,1215,7420
1,28123,7417
1,9741,7315
1,24082,7278
1,48171,7261
1,17807,7181
1,5449,7036
1,41319,6973
1,39121,6909
1,24010,6816
1,47492,6754
1,38274,6642
1,45681,6447
1,40002,6409
1,5959,6345
1,26914,6330
1,46175,6222
1,23554,6067
1,46346,5903
1,2361,5871
1,13966,5843
1,13885,5717
1,48720,5602
1,27509,5588
1,12144,5577
1,45613,5561
1,9595,5540
1,9390,5492
1,48523,5462
1,48287,5428
1,24231,5335
1,8022,5330
1,38374,5223
1,49416,5195
1,14881,5161
1,162,5113
1,21463,5096
1,436,5044
1,1516,5004
1,37250,4993
1,45364,4855
1,20327,4838
1,45061,4814
1,20113,4796
1,22559,4676
1,4932,4644
1,8012,4609
1,43908,4577
1,28682,4511
1,47993,4495
1,26298,4427
1,10199,4388
1,1398,4379
1,26201,4359
1,39024,4343
1,8638,4290
1,43889,4243
1,28226,4185
1,7862,4184
1,15950,4132
1,2979,4043
1,130,4039
1,24631,3989
1,17334,3941
1,45578,3898
1,4428,3873
1,27179,3863
1,22451,3854
1,30135,3826
1,49273,3779
1,33957,3713
1,6750,3695
1,40078,3686
1,22620,3653
1,8929,3597
1,38563,3578
1,30994,3552
1,14126,3543
1,13031,3473
1,6343,3462
1,47652,3460
1,47119,3445
1,5699,3436
1,41842,3428
1,6052,3415
1,17149,3383
1,8412,3362
1,35264,3334
1,26709,3328
1,42404,3291
1,11945,3281
1,31883,3254
1,21150,3188
1,45368,3179
1,14335,3177
1,38003,3146
1,45541,3137
1,3717,3116
1,41618,3104
1,6975,3080
1,8744,3080
1,5603,3079
1,16363,3078
1,9290,3054
1,40376,3052
1,35946,3049
1,19711,3040
1,37193,3028
1,22699,3018
1,43749,3007
1,35762,2986
1,30668,2983
1,19154,2967
1,27355,2966
1,2002,2948
1,18908,2945
1,36651,2940
1,31612,2935
1,31960,2935
1,46047,2922
1,34458,2921
1,13807,2897
1,4302,2874
1,28572,2865
1,9434,2851
1,49325,2849
1,48099,2817
1,10343,2816
1,6292,2804
1,46822,2803
1,21783,2759
1,4600,2736
1,39911,2723
1,6300,2719
1,2596,2699
1,24764,2684
1,12324,2673
1,13560,2646
1,47616,2640
1,14493,2631
1,9554,2606
1,5918,2596
1,12204,2593
1,34214,2572
1,48144,2563
1,36393,2561
1,47780,2557
1,276,2553
1,1640,2534
1,38275,2525
1,26706,2521
1,11865,2515
1,1752,2512
1,11121,2507
1,28733,2495
1,29388,2483
1,3962,2470
1,17021,2463
1,16874,2458
1,44371,2398
1,7901,2381
1,48440,2372
1,47439,2362
1,27737,2359
1,19448,2358
1,24925,2348
1,25830,2339
1,41596,2336
1,35715,2324
1,21775,2310
1,31893,2307
1,26452,2293
1,28458,2281
1,36149,2279
1,15925,2276
1,7493,2274
1,21850,2273
1,28309,2271
1,42205,2260
1,23695,2257
1,31263,2245
1,28862,2228
1,22695,2216
1,15820,2193
1,13851,2190
1,19625,2184
1,29837,2168
1,35469,2167
1,24195,2125
1,28715,2118
1,258,2111
1,40490,2099
1,9779,2090
1,4576,2078
1,27573,2078
1,30839,2069
1,42352,2062
1,15683,2056
1,22228,2047
1,32950,2039
1,9065,2031
1,22046,2024
1,10685,2017
1,25745,2006
1,38837,2000
1,48423,2000
1,19174,1983
1,29142,1981
1,32099,1974
1,13447,1970
1,26104,1962
1,22736,1954
1,39990,1946
1,3358,1944
1,4960,1918
1,12932,1917
1,33540,1913
1,36664,1913
1,34635,1912
1,41556,1902
1,46844,1901
1,25762,1900
1,22218,1898
1,35123,1895
1,31701,1886
1,37460,1885
1,47058,1876
1,22276,1866
1,39982,1851
1,45264,1847
1,49144,1842
1,43621,1815
1,32923,1814
1,41453,1812
1,28824,1809
1,30162,1807
1,40587,1802
1,22908,1798
1,40203,1792
1,4697,1791
1,22677,1780
1,47223,1780
1,23915,1773
1,2240,1771
1,41722,1770
1,14464,1769
1,3628,1764
1,14379,1752
1,24142,1724
1,37511,1722
1,44753,1713
1,30336,1683
1,22028,1681
1,37935,1677
1,49667,1675
1,7398,1671
1,29309,1661
1,3539,1657
1,12381,1657
1,18104,1647
1,4429,1646
1,6692,1636
1,36758,1630
1,46138,1628
1,18814,1614
1,8251,1613
1,11574,1610
1,22828,1609
1,14945,1590
1,14576,1586
1,18881,1584
1,45161,1583
1,19213,1572
1,43647,1572
1,31461,1566
1,46666,1559
1,42796,1549
1,39464,1543
1,34329,1539
1,14114,1536
1,14112,1531
1,28441,1531
1,45588,1529
1,28384,1524
1,8436,1523
1,7274,1521
1,13772,1516
1,1824,1514
1,32428,1498
1,2781,1495
1,2164,1493
1,21472,1491
1,29315,1491
1,22069,1486
1,261,1480
1,34283,1479
1,2726,1478
1,32854,1477
1,39099,1476
1,22767,1474
1,2081,1471
1,2435,1469
1,45009,1454
