,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Penne Pasta,Rotini Pasta,0.0638219315365,0.0460994778206,0.0114457513582,0.179338842975,3.89025757891,0.00850359364086,1.16235612471
1,Rotini Pasta,Penne Pasta,0.0460994778206,0.0638219315365,0.0114457513582,0.24828375286,3.89025757891,0.00850359364086,1.24538756748
2,Original Rice Pilaf Mix,Spanish Rice Pilaf Mix,0.0525344163722,0.0304340946252,0.0111820243684,0.212851405622,6.99384713899,0.00958318696942,1.23174444101
3,Spanish Rice Pilaf Mix,Original Rice Pilaf Mix,0.0304340946252,0.0525344163722,0.0111820243684,0.367417677643,6.99384713899,0.00958318696942,1.49777436097
4,Macaroni Shells & White Cheddar Cheese,Shells & Real Aged Cheddar Macaroni & Cheese,0.0482620391371,0.0412996466058,0.0145049844401,0.300546448087,7.2772159761,0.0125117792793,1.37064191149
5,Shells & Real Aged Cheddar Macaroni & Cheese,Macaroni Shells & White Cheddar Cheese,0.0412996466058,0.0482620391371,0.0145049844401,0.351213282248,7.2772159761,0.0125117792793,1.46695043968
6,Garlic Couscous,Original Rice Pilaf Mix,0.0418271005855,0.0525344163722,0.010232607205,0.244640605296,4.65676830905,0.00803524488722,1.25432422006
7,Original Rice Pilaf Mix,Garlic Couscous,0.0525344163722,0.0418271005855,0.010232607205,0.194779116466,4.65676830905,0.00803524488722,1.18995038381
8,Penne Rigate #41 Pasta,Spaghetti  No 12,0.0421963183712,0.042460045361,0.010232607205,0.2425,5.7112515528,0.00844094961291,1.26407914804
9,Spaghetti  No 12,Penne Rigate #41 Pasta,0.042460045361,0.0421963183712,0.010232607205,0.24099378882,5.7112515528,0.00844094961291,1.26191810755
10,Fusilli No. 34,Penne Rigate #41 Pasta,0.0430929901366,0.0421963183712,0.0121314415317,0.281517747858,6.67161872705,0.0103130760004,1.33309302877
11,Penne Rigate #41 Pasta,Fusilli No. 34,0.0421963183712,0.0430929901366,0.0121314415317,0.2875,6.67161872705,0.0103130760004,1.34302738226
12,Penne Pasta,Farfalle Pasta,0.0638219315365,0.041088665014,0.0119732053378,0.187603305785,4.5658165268,0.00935084737239,1.18034864225
13,Farfalle Pasta,Penne Pasta,0.041088665014,0.0638219315365,0.0119732053378,0.291399229782,4.5658165268,0.00935084737239,1.32116433937
14,Penne Pasta,Spaghetti Pasta,0.0638219315365,0.061553879424,0.0139247850625,0.218181818182,3.5445664875,0.0099962975841,1.2003380612
15,Spaghetti Pasta,Penne Pasta,0.061553879424,0.0638219315365,0.0139247850625,0.226221079692,3.5445664875,0.0099962975841,1.20987796888
16,Penne Rigate,Spaghetti,0.0438841711061,0.0620813334037,0.0112875151643,0.257211538462,4.14313811189,0.00856312730672,1.26269956409
17,Spaghetti,Penne Rigate,0.0620813334037,0.0438841711061,0.0112875151643,0.181818181818,4.14313811189,0.00856312730672,1.16858601309
